|id |titulo                                             |descricao                                          |data_inicio                  |data_fim                     |ativo|createdAt                    |updatedAt                    |id_subcategoria_produto|id_categoria_produto|precisa_cadastro_completo|id_campanha|
|100|- Escalope Vegetal                                 |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:54:00.558 -0300|2025-06-25 16:54:00.558 -0300|399                    |31                  |true                     |           |
|101|- Frango Vegetal                                   |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:54:00.797 -0300|2025-06-25 16:54:00.797 -0300|400                    |31                  |true                     |           |
|102|- Medalhão Vegetal                                 |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:54:01.032 -0300|2025-06-25 16:54:01.032 -0300|401                    |31                  |true                     |           |
|103|- Proteína de Soja                                 |-                                                  |2025-06-25 16:47:53.000 -0300|2032-07-30 16:47:53.000 -0300|true |2025-06-25 16:54:01.254 -0300|2025-06-25 16:54:01.254 -0300|284                    |31                  |true                     |           |
|104|- Abacaxi em Calda                                 |                                                   |2025-06-26 09:12:27.000 -0300|2030-07-06 09:12:27.000 -0300|true |2025-06-26 09:20:02.758 -0300|2025-06-26 09:20:02.758 -0300|210                    |32                  |true                     |           |
|105|- Ameixa em Calda                                  |                                                   |2025-06-26 09:12:27.000 -0300|2030-07-06 09:12:27.000 -0300|true |2025-06-26 09:20:03.193 -0300|2025-06-26 09:20:03.193 -0300|366                    |32                  |true                     |           |
|106|- Cereja em Calda                                  |                                                   |2025-06-26 09:12:27.000 -0300|2030-07-06 09:12:27.000 -0300|true |2025-06-26 09:20:03.698 -0300|2025-06-26 09:20:03.698 -0300|368                    |32                  |true                     |           |
|107|- Vinho Tinto                                      |                                                   |2025-06-26 09:21:23.000 -0300|2030-07-06 09:21:23.000 -0300|true |2025-06-26 09:39:25.830 -0300|2025-06-26 09:39:25.830 -0300|152                    |34                  |true                     |           |
|108|- Vinho Branco                                     |                                                   |2025-06-26 09:21:23.000 -0300|2030-07-06 09:21:23.000 -0300|true |2025-06-26 09:39:26.098 -0300|2025-06-26 09:39:26.098 -0300|153                    |34                  |true                     |           |
|111|- Leite em Cápsula                                 |-                                                  |2025-06-26 10:19:17.000 -0300|2032-07-03 10:19:17.000 -0300|true |2025-06-26 10:51:47.962 -0300|2025-06-26 10:51:47.962 -0300|123                    |29                  |true                     |           |
|112|- Achocolatado em Cápsula                          |-                                                  |2025-06-26 10:19:17.000 -0300|2032-07-03 10:19:17.000 -0300|true |2025-06-26 10:51:48.249 -0300|2025-06-26 10:51:48.249 -0300|334                    |29                  |true                     |           |
|113|- Composto Lácteo em Cápsula                       |-                                                  |2025-06-26 10:19:17.000 -0300|2032-07-03 10:19:17.000 -0300|true |2025-06-26 10:51:48.526 -0300|2025-06-26 10:51:48.526 -0300|336                    |29                  |true                     |           |
|114|- Café com Leite em Cápsula                        |-                                                  |2025-06-26 10:19:17.000 -0300|2032-07-03 10:19:17.000 -0300|true |2025-06-26 10:51:48.816 -0300|2025-06-26 10:51:48.816 -0300|119                    |29                  |true                     |           |
|115|- Café em Cápsula                                  |-                                                  |2025-06-26 10:19:17.000 -0300|2032-07-03 10:19:17.000 -0300|true |2025-06-26 10:51:49.085 -0300|2025-06-26 10:51:49.085 -0300|120                    |29                  |true                     |           |
|116|- Cappuccino em Cápsula                            |-                                                  |2025-06-26 10:19:17.000 -0300|2032-07-03 10:19:17.000 -0300|true |2025-06-26 10:51:49.616 -0300|2025-06-26 10:51:49.616 -0300|121                    |29                  |true                     |           |
|118|- Cervejas Puro Malte                              |                                                   |2025-06-26 17:05:08.000 -0300|2031-07-05 17:05:08.000 -0300|true |2025-06-26 17:19:21.246 -0300|2025-06-26 17:19:21.246 -0300|177                    |34                  |true                     |           |
