|id   |gtin_ean     |nome                                                                                                   |
|6.688|7896862002060|LEITE FERMENTADO DESNATADO FRUTAP GARRAFA 900G FAMILY                                                  |
|6.689|7898205924480|IOGURTE DESNATADO MORANGO ZERO LACTOSE VERDE CAMPO LACFREE FRASCO 170G                                 |
|6.690|7898205924763|IOGURTE PARCIALMENTE DESNATADO MAÇÃ, BANANA E MAMÃO VERDE CAMPO PROBIÓTICO GARRAFA 500G                |
|6.691|7898403781007|MISTURA DE REQUEIJÃO COM QUEIJO E AMIDO BETÂNIA BISNAGA 1,8KG EMBALAGEM ECONÔMICA                      |
|6.692|7898403780970|BEBIDA LÁCTEA FERMENTADA AMEIXA E MORANGO BETÂNIA BANDEJA 540G 6 UNIDADES                              |
|6.693|7896259426219|CREME DE LEITE UHT LEVE HOMOGENEIZADO CAMPONESA PROFISSIONAL CAIXA 1,01KG                              |
|6.694|7898205924671|IOGURTE DESNATADO DOCE DE LEITE ZERO LACTOSE VERDE CAMPO NATURAL WHEY FRASCO 250G                      |
|6.695|7898598750536|QUEIJO REINO EM PEDAÇO QUATÁ 170G                                                                      |
|6.696|7896259425403|QUEIJO MUSSARELA FATIADO CAMPONESA 1KG EMBALAGEM ECONÔMICA                                             |
|6.697|7896259425991|QUEIJO MUSSARELA FATIADO CAMPONESA 300G                                                                |
|6.698|7898598750505|QUEIJO COALHO EM ESPETO TRADICIONAL QUATÁ 300G 7 UNIDADES                                              |
|6.699|7896183203030|QUEIJO MINAS PADRÃO EM PEDAÇO QUATÁ                                                                    |
|6.700|7898598750581|QUEIJO ESTEPE QUATÁ 170G                                                                               |
|6.701|7898598750512|QUEIJO COALHO EM ESPETO COM ORÉGANO QUATÁ 300G 7 UNIDADES                                              |
|6.702|7896183203238|QUEIJO BRIE QUATÁ                                                                                      |
|6.703|7898598750239|QUEIJO MINAS FRESCAL QUATÁ                                                                             |
|6.704|7896183202019|QUEIJO MINAS FRESCAL TRADICIONAL QUATÁ                                                                 |
|6.705|7896183202156|QUEIJO MINAS FRESCAL LIGHT QUATÁ                                                                       |
|6.706|7896183207014|QUEIJO PROVOLONE DEFUMADO QUATÁ                                                                        |
|6.707|7896183207021|QUEIJO PROVOLONE DEFUMADO QUATÁ                                                                        |
|6.708|7898598750369|QUEIJO PROVOLONE DEFUMADO QUATÁ 300G                                                                   |
|6.709|7896183207083|QUEIJO PROVOLONE DEFUMADO EM PEDAÇO QUATÁ                                                              |
|6.710|7898598750543|QUEIJO GOUDA QUATÁ 170G                                                                                |
|6.711|7896183203092|QUEIJO GOUDA QUATÁ                                                                                                       |
|6.712|7896259425427|QUEIJO PRATO FATIADO CAMPONESA 150G                                                                                      |
|6.713|7898598750598|QUEIJO PARMESÃO QUATÁ 160G                                                                                               |
|6.714|7896183201043|QUEIJO PARMESÃO RALADO QUATÁ PACOTE 10G                                                                                  |
|6.715|7898598750079|CREME DE QUEIJO LIGHT QUATÁ COPO 180G                                                                                    |
|6.716|7908228807230|BALA DE GELATINA SORTIDA OCEANITOS FINI PACOTE 80G                                                                       |
|6.717|7896331101263|MANTEIGA DE PRIMEIRA QUALIDADE COM SAL ZERO LACTOSE AVIAÇÃO POTE 200G                                                    |
|6.718|7891331850227|BARRA DE NUTS COCO NUTRY PACOTE 25G                                                                                      |
|6.719|7891331850371|PACK BARRA DE NUTS CACAU NUTRY CAIXA 50G 2 UNIDADES                                                                      |
|6.720|7891331850289|BARRA DE NUTS COCO NUTRY CAIXA 300G 12 UNIDADES                                                                          |
|6.721|7891331018399|PACK BARRA DE CEREAL CAPPUCCINO NUTRY PACOTE 60G 3 UNIDADES                                                              |
|6.722|7891331010560|PACK BARRA DE CEREAL MORANGO COBERTURA CHOCOLATE NUTRY PACOTE 66G 3 UNIDADES                                             |
|6.723|7891331008178|BARRA DE CEREAL BOLO DE CHOCOLATE NUTRY PACOTE 22G                                                                       |
|6.724|7891331008352|PACK BARRA DE CEREAL BOLO DE CHOCOLATE NUTRY PACOTE 66G 3 UNIDADES                                                       |
|6.725|7891331010546|PACK BARRA DE CEREAL AVELÃ COBERTURA CHOCOLATE NUTRY PACOTE 66G 3 UNIDADES                                               |
|6.726|7891331010553|PACK BARRA DE CEREAL AVEIA COM BANANA E MEL NUTRY PACOTE 66G 3 UNIDADES                                                  |
|6.727|7891331014520|BARRA DE CEREAL FRUTAS VERMELHAS NUTRY PACOTE 22G                                                                        |
|6.728|7891331014483|BARRA DE CEREAL FRUTAS VERMELHAS NUTRY CAIXA 528G 24 UNIDADES                                                            |
|6.729|7891331014476|PACK BARRA DE CEREAL FRUTAS VERMELHAS NUTRY PACOTE 66G 3 UNIDADES                                                        |
|6.730|7891331014452|PACK BARRA DE CEREAL COCO COBERTURA CHOCOLATE NUTRY PACOTE 66G 3 UNIDADES                                                |
|6.731|7891331018375|BARRA DE CEREAL CAPPUCCINO NUTRY PACOTE 20G                                                                              |
|6.732|7891048038512|CHÁ VERDE, ABACAXI, LIMÃO, COUVE, ESPINAFRE, CAPIM_SANTO, HORTELÃ E GENGIBRE ZERO AÇÚCAR DR. OETKER TI4YOU POTE 180G     |
|6.733|7891331018290|BARRA DE PROTEÍNA PASTA DE AMENDOIM COBERTURA CHOCOLATE AO LEITE NUTRY CRISPY PROTEIN PACOTE 30G                         |
|6.734|7891331018603|PACK BARRA DE PROTEÍNA PASTA DE AMENDOIM COBERTURA CHOCOLATE AO LEITE NUTRY CRISPY PROTEIN CAIXA 90G 3 UNIDADES          |
|6.735|7898205922998|CREME DE LEITE PASTEURIZADO BATE CHANTILLY ZERO LACTOSE VERDE CAMPO LACFREE GARRAFA 500G                                 |
